"Anhui Zhifei Longcom Biopharmaceutical/Institute of Microbiology, Chinese Academy of Sciences ","Protein Subunit ","Adjuvanted recombinant protein (RBD-Dimer) ","2 or 3 ","0,28 or 0,28,56 days ","IM ","NCT04445194 ","","NCT04466085 ","",
"Curevac ","RNA ","mRNA ","2 ","0, 28 days ","IM ","NCTO4449276 ","","NCT04515147 ","",
"Institute of Medical Biology, Chinese Academy of Medical Sciences ","Inactivated ","Inactivated ","2 ","0, 28 days ","IM ","NCT04412538 ","NCT04470609 ","","",
"Research Institute for Biological Safety Problems, Rep of Kazakhstan ","Inactivated ","Inactivated ","2 ","O, 21 days ","IM ","","NCT04530357 ","","",
"Inovio Pharmaceuticals/ International Vaccine Institute ","DNA ","DNA plasmid vaccine with electroporation ","2 ","0, 28 days ","ID ","","NCT04447781 NCTO4336410 ","","",
"Osaka University/ AnGes/ Takara Bio ","DNA ","DNA plasmid vaccine + Adjuvant ","2 ","0, 14 days ","IM ","","NCT04463472 NCT04527081 ","","",
"Cadila Healthcare Limited ","DNA ","DNA plasmid vaccine ","3 ","0, 28, 56 days ","ID ","","CTRI/2020/07/026352 ","","",
"Genexine Consortium ","DNA ","DNA Vaccine (GX-19) ","2 ","0, 28 days ","IM ","","NCT04445389 ","","",
"Bharat Biotech ","Inactivated ","Whole-Virion Inactivated ","2 ","0, 14 days ","IM ","","NCT04471519 ","","",
"Janssen Pharmaceutical Companies ","Non-Replicating Viral Vector ","Ad26COVS1 ","2 ","O, 56 days ","IM ","","NCT04436276 ","","NCT04505722 (not yet recruiting) ",
"Novavax ","Protein Subunit ","Full length recombinant SARS CoV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M ","2 ","0, 21 days ","IM ","","NCT04368988 ","","",
"Kentucky Bioprocessing, Inc ","Protein Subunit ","RBD-based ","2 ","O, 21 days ","IM ","","NCT04473690 ","","",
"Arcturus/Duke-NUS ","RNA ","mRNA ","","","IM ","","NCTO4480957 ","","",
"ReiThera/LEUKOCARE/Univercells ","Non-Replicating Viral Vector ","Replication defective Simian Adenovirus (GRAd) encoding S ","1 ","","IM ","NCT04528641 ","","","",
"Clover Biopharmaceuticals Inc./GSK/Dynavax ","Protein Subunit ","Native like Trimeric subunit Spike Protein vaccine ","2 ","O, 21 days ","IM ","NCT04405908 ","","","",
